date,operating_hours,num_stops,equipment_age,target,record_type
2020-01-01,13.9926419015578,0,3.997442200640199,16.359272893547708,DAILY
2020-01-02,23.21142890255866,0,14.250213338625985,1.34698835474699,DAILY
2020-01-03,19.71190306898248,1,9.3758538388063,4.630695164184629,DAILY
2020-01-04,17.578535747152586,0,13.521331536261481,2.183650319458866,DAILY
2020-01-05,10.496298247078984,0,16.828658055517938,9.615253721928662,DAILY
2020-01-06,10.495912325379242,0,3.8097043572500016,1.8221682275094946,DAILY
2020-01-07,8.929337794691191,0,0.8733249259383152,5.206450660933865,DAILY
2020-01-08,21.85881833239896,0,15.692500434717843,0.4903171023799367,DAILY
2020-01-09,17.61784018789134,1,12.38909979047601,3.3132384247363387,DAILY
2020-01-10,19.329161244736728,0,14.142971607631374,2.592856733300195,DAILY
2020-01-11,8.32935190873284,0,16.84402201227853,8.396337850535817,DAILY
2020-01-12,23.518557634591907,0,16.15481322907776,4.1130928760492775,DAILY
2020-01-13,21.319082252806748,0,19.237942865112082,3.289942700937278,DAILY
2020-01-14,11.397425770852418,0,10.950734037616305,4.409213975777818,DAILY
2020-01-15,10.90919947531361,0,10.025664836868154,0.18921415800360322,DAILY
2020-01-16,10.934472157654941,1,8.336800397869236,2.048197611108403,DAILY
2020-01-17,12.867875887352604,0,3.4969753354619884,2.2867326059479485,DAILY
2020-01-18,16.396102906115807,0,11.665841041199437,4.858486918392368,DAILY
2020-01-19,14.911120298273852,0,5.9017442243565865,1.5242310474668899,DAILY
2020-01-20,12.65966624316867,0,18.465496488153022,3.7087064579406404,DAILY
2020-01-21,17.789646315558073,0,11.872220683403402,3.0785312021679054,DAILY
2020-01-22,10.23190177043267,0,12.060383519908148,2.1316902393652803,DAILY
2020-01-23,12.67431437656349,0,7.421030887101695,2.23573197451451,DAILY
2020-01-24,13.861789492699067,0,1.5137923635652961,3.0593540326246287,DAILY
2020-01-25,15.297119747472575,0,1.119003424773278,0.6362161133235756,DAILY
2020-01-26,20.562815382288218,1,8.75503531098735,5.305284750289264,DAILY
2020-01-27,11.194780514533756,0,2.1490248728961383,1.812365471367793,DAILY
2020-01-28,16.227751014617787,0,12.333515633032713,2.7094630427109054,DAILY
2020-01-29,17.47863310179268,0,17.67897360997332,8.211308831031081,DAILY
2020-01-30,8.743206603519964,0,17.716838922115084,5.362235560465962,DAILY
2020-01-31,17.720717630423014,1,13.351385497578532,1.31332416628352,DAILY
